      A     B     C     D     E     F     G     H     I     J     K     L     M     N     O     P     Q     R     S     T     
A     0     1     0     0     0     1     0     0     0     0     0     1     1     0     1     0     0     1     1     1     
B     1     0     0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
C     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
D     0     1     0     0     1     1     0     0     1     0     0     0     0     1     0     0     0     0     0     0     
E     0     1     0     1     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
F     1     0     0     1     1     0     1     0     0     0     0     0     0     1     0     0     0     0     0     0     
G     0     0     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     0     0     0     
H     0     0     0     0     0     0     1     0     1     1     0     0     0     0     0     0     0     0     0     0     
I     0     0     0     1     0     0     0     1     0     1     0     0     0     0     0     0     0     0     0     0     
J     0     0     0     0     0     0     0     1     1     0     0     0     0     0     0     1     1     0     0     0     
K     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     
L     1     0     0     0     0     0     0     0     0     0     0     0     1     1     0     0     0     0     0     1     
M     1     0     0     0     0     0     0     0     0     0     0     1     0     1     1     0     0     0     0     1     
N     0     0     0     1     0     1     0     0     0     0     0     1     1     0     1     0     0     0     0     0     
O     1     0     0     0     0     0     0     0     0     0     0     0     1     1     0     1     0     0     0     0     
P     0     0     0     0     0     0     0     0     0     1     0     0     0     0     1     0     1     1     1     1     
Q     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0     1     0     0     0     0     
R     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     1     0     
S     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     1     0     1     
T     1     0     0     0     0     0     0     0     0     0     0     1     1     0     0     1     0     0     1     0     
